item_id,current_global_qty,max_global_qty,global_inv_level
365,240,240,1.0
68,1600,1600,1.0
116,96,96,1.0
354,35,35,1.0
373,216,216,1.0
157,24,24,1.0
351,1152,1152,1.0
166,144,144,1.0
347,252,252,1.0
237,216,216,1.0
336,576,576,1.0
97,40,40,1.0
379,264,264,1.0
57,120,120,1.0
394,630,630,1.0
89,240,240,1.0
426,360,360,1.0
478,240,240,1.0
91,36,36,1.0
73,600,600,1.0
253,576,576,1.0
177,240,240,1.0
219,168,168,1.0
64,72,72,1.0
90,120,120,1.0
186,350,350,1.0
393,252,252,1.0
197,2160,2160,1.0
447,240,240,1.0
222,1824,1824,1.0
102,96,96,1.0
384,96,96,1.0
462,360,360,1.0
387,189,189,1.0
184,1152,1152,1.0
127,1728,1728,1.0
106,120,120,1.0
50,81,81,1.0
155,270,270,1.0
432,144,144,1.0
120,960,960,1.0
144,1440,1440,1.0
305,432,432,1.0
492,1512,1512,1.0
263,252,252,1.0
391,40,40,1.0
281,1800,1800,1.0
320,3072,3072,1.0
141,60,60,1.0
191,792,792,1.0
306,324,324,1.0
170,120,120,1.0
151,96,96,1.0
332,432,432,1.0
130,144,144,1.0
491,1872,1872,1.0
256,120,120,1.0
183,1440,1440,1.0
173,480,480,1.0
85,144,144,1.0
147,1152,1152,1.0
453,720,720,1.0
179,48,48,1.0
434,288,288,1.0
334,360,360,1.0
441,210,210,1.0
324,1512,1512,1.0
255,144,144,1.0
99,120,120,1.0
119,222,222,1.0
293,792,792,1.0
195,210,210,1.0
411,1344,1344,1.0
52,144,144,1.0
498,420,420,1.0
370,1920,1920,1.0
111,54,54,1.0
300,104,104,1.0
337,2160,2160,1.0
161,630,630,1.0
80,96,96,1.0
309,150,150,1.0
159,1008,1008,1.0
266,360,360,1.0
146,96,96,1.0
62,120,120,1.0
79,72,72,1.0
192,1800,1800,1.0
160,20,20,1.0
98,60,60,1.0
140,30,30,1.0
113,44,44,1.0
163,288,288,1.0
136,96,96,1.0
392,2520,2520,1.0
299,1296,1296,1.0
169,160,160,1.0
265,60,60,1.0
396,60,60,1.0
131,162,162,1.0
350,432,432,1.0
288,96,96,1.0
269,72,72,1.0
100,72,72,1.0
212,768,768,1.0
87,48,48,1.0
180,432,432,1.0
178,288,288,1.0
95,240,240,1.0
126,240,240,1.0
