replication,seed,mode,max_ticks,fast_io,backend_steps,simulation_tick,throughput,avg_order_completion_time,pod_visits,pile_on_rate,picked_quantity,total_energy,stop_and_go,total_turning,setup_seconds,run_seconds,total_seconds,model_path
5,20260531,random,3000.0,False,20000,3000.0,452,152.96238938053096,404,5.675742574257426,2293,4905892.736884223,7857,5781,71.64670992316678,1259.3821550109424,1331.0288649341092,
5,20260531,ppo,3000.0,False,20000,3000.0,432,156.1898148148148,375,5.8773333333333335,2204,4892592.575302099,7641,5671,66.42060037190095,1372.9730433300138,1439.3936437019147,
6,20260532,rika,3000.0,False,20000,3000.0,422,164.90758293838863,486,8.195473251028806,3983,5969647.57173659,8910,6457,75.32143680006266,1420.6343228560872,1495.95575965615,
6,20260532,random,3000.0,False,20000,3000.0,468,143.00213675213675,377,5.6923076923076925,2146,4824029.263564451,7749,5739,90.59214844694361,1220.1633898881264,1310.75553833507,
6,20260532,ppo,3000.0,False,20000,3000.0,452,150.92920353982302,376,5.904255319148936,2220,4778087.672619959,7588,5555,80.14857658091933,1416.2197634433396,1496.368340024259,
7,20260533,rika,3000.0,False,20000,3000.0,394,175.63451776649745,465,8.415053763440861,3913,5774683.79451124,8622,6263,69.83475107699633,1393.729559419211,1463.5643104962073,
7,20260533,random,3000.0,False,20000,3000.0,426,157.981220657277,358,5.9581005586592175,2133,4481364.230560312,7595,5607,83.32302377093583,1242.9668711256236,1326.2898948965594,
7,20260533,ppo,3000.0,False,20000,3000.0,427,158.62529274004683,366,5.6502732240437155,2068,4512645.335991674,7487,5541,79.10539868939668,1387.4332271581516,1466.5386258475482,
8,20260534,rika,3000.0,False,20000,3000.0,379,182.4538258575198,462,8.571428571428571,3960,5784525.670915461,8610,6418,70.24010081309825,1378.519195000641,1448.7592958137393,
8,20260534,random,3000.0,False,20000,3000.0,413,160.88861985472155,371,5.695417789757412,2113,4707482.319022569,7658,5605,68.87937067588791,1245.3337134430185,1314.2130841189064,
8,20260534,ppo,3000.0,False,20000,3000.0,417,165.65707434052757,372,6.021505376344086,2240,4753897.942299568,7504,5497,67.80847581196576,1402.6214655400254,1470.4299413519911,
9,20260535,rika,3000.0,False,20000,3000.0,395,173.71645569620253,474,8.30590717299578,3937,6071760.0255029,8675,6418,62.40035310667008,1408.126035330817,1470.5263884374872,
9,20260535,random,3000.0,False,20000,3000.0,317,157.7539432176656,282,5.9361702127659575,1674,3436506.656124288,5706,4148,76.09430089313537,995.1750582191162,1071.2693591122515,
9,20260535,ppo,3000.0,False,20000,3000.0,436,150.10091743119267,369,6.018970189701897,2221,4706758.6703576045,7604,5583,72.75785445515066,1355.3853260991164,1428.143180554267,
10,20260536,rika,3000.0,False,20000,3000.0,392,177.21428571428572,479,8.382045929018789,4015,5985997.226606707,8639,6346,87.70737630827352,1387.6464542881586,1475.353830596432,
10,20260536,random,3000.0,False,20000,3000.0,435,152.66206896551725,367,5.84741144414169,2146,4788419.817328571,7712,5572,74.79092774167657,1261.2478261440992,1336.0387538857758,
10,20260536,ppo,3000.0,False,20000,3000.0,427,143.40281030444964,380,6.063157894736842,2304,4899457.733267517,7656,5615,67.60953919356689,1333.8131007640623,1401.4226399576291,
11,20260537,rika,3000.0,False,20000,3000.0,395,174.72911392405064,472,8.569915254237289,4045,5964162.127053972,8759,6366,71.63080786075443,1434.6842008600943,1506.3150087208487,
11,20260537,random,3000.0,False,20000,3000.0,437,153.62471395881008,365,5.772602739726027,2107,4702169.181602818,7634,5700,53.976478239987046,1194.0048993597738,1247.981377599761,
11,20260537,ppo,3000.0,False,20000,3000.0,430,153.41860465116278,370,5.751351351351351,2128,4806652.962794081,7535,5661,82.43473886605352,1389.605154860299,1472.0398937263526,
12,20260538,rika,3000.0,False,20000,3000.0,389,178.69665809768637,477,8.448637316561845,4030,5982971.4774036845,8823,6425,74.83783572493121,1433.9992132047191,1508.8370489296503,
12,20260538,random,3000.0,False,20000,3000.0,428,162.20560747663552,383,5.595300261096606,2143,4833609.295079606,7765,5659,79.1682398589328,1238.1799034802243,1317.348143339157,
12,20260538,ppo,3000.0,False,20000,3000.0,425,154.46823529411765,397,5.869017632241814,2330,5019486.62668711,7868,5865,75.40529015799984,1407.4852206297219,1482.8905107877217,
13,20260539,rika,3000.0,False,20000,3000.0,394,175.43147208121826,478,8.589958158995817,4106,6005661.533054454,8801,6551,71.93836601777002,1425.6845833989792,1497.6229494167492,
13,20260539,random,3000.0,False,20000,3000.0,428,153.9322429906542,388,5.989690721649485,2324,4790229.768092186,7928,5775,73.32588062714785,1234.9423856441863,1308.2682662713341,
13,20260539,ppo,3000.0,False,20000,3000.0,423,155.84869976359337,362,5.94475138121547,2152,4671461.4470521705,7733,5719,70.37040897877887,1373.9364615892991,1444.306870568078,
14,20260540,rika,3000.0,False,20000,3000.0,404,171.86881188118812,465,8.574193548387097,3987,5821815.647527088,8704,6553,66.56333690695465,1560.2913239188492,1626.8546608258039,
14,20260540,random,3000.0,False,20000,3000.0,441,143.24036281179139,380,5.85,2223,4820203.732775535,7652,5653,87.51971858972684,2499.1532882018946,2586.6730067916214,
14,20260540,ppo,3000.0,False,20000,3000.0,444,148.12612612612614,373,5.86058981233244,2186,4872976.057302181,7653,5699,65.13128704903647,1464.1179219251499,1529.2492089741863,
15,20260541,rika,3000.0,False,20000,3000.0,406,170.60837438423644,479,8.167014613778706,3912,6011924.97080832,8742,6374,76.81164056109264,1463.68801758904,1540.4996581501327,
15,20260541,random,3000.0,False,20000,3000.0,448,149.54017857142858,377,6.090185676392573,2296,4733809.691503047,7855,5727,79.79179930407554,1229.3288848758675,1309.120684179943,
15,20260541,ppo,3000.0,False,20000,3000.0,447,144.17225950782998,384,6.127604166666667,2353,5031399.867502198,7792,5732,76.03719947114587,1391.8579629752785,1467.8951624464244,
16,20260542,rika,3000.0,False,20000,3000.0,392,175.89030612244898,479,8.215031315240083,3935,6079973.671033528,8825,6435,69.40833866223693,1395.4824555050582,1464.890794167295,
16,20260542,random,3000.0,False,20000,3000.0,437,160.10755148741418,398,6.243718592964824,2485,4837210.918877259,7746,5625,80.85099622886628,1223.5068640820682,1304.3578603109345,
16,20260542,ppo,3000.0,False,20000,3000.0,436,154.54128440366972,409,6.014669926650367,2460,5069243.663331788,7975,5790,56.24968645302579,1537.4048573542386,1593.6545438072644,
17,20260543,rika,3000.0,False,20000,3000.0,404,170.82920792079207,471,8.636942675159236,4068,6037059.1106911125,8631,6381,82.69984805537388,1469.8256475967355,1552.5254956521094,
17,20260543,random,3000.0,False,20000,3000.0,436,157.00688073394497,365,5.843835616438356,2133,4799193.1680762535,7799,5815,68.55732343625277,1173.3922094739974,1241.9495329102501,
17,20260543,ppo,3000.0,False,20000,3000.0,456,148.56578947368422,379,5.944591029023747,2253,4701067.100847357,7581,5609,78.3906813482754,1462.6126951831393,1541.0033765314147,
18,20260544,rika,3000.0,False,20000,3000.0,384,180.74739583333334,470,8.451063829787234,3972,5914906.40673924,8676,6368,63.23690834315494,1413.3732335427776,1476.6101418859325,
18,20260544,random,3000.0,False,20000,3000.0,428,159.6448598130841,370,5.967567567567568,2208,4563567.782675969,7596,5529,80.56329310126603,1243.2182571850717,1323.7815502863377,
18,20260544,ppo,3000.0,False,20000,3000.0,420,154.27142857142857,367,5.9046321525885554,2167,4557206.28186668,7638,5634,69.19232555106282,1361.1055829152465,1430.2979084663093,
19,20260545,rika,3000.0,False,20000,3000.0,402,171.8233830845771,486,8.335390946502057,4051,6080020.6784238545,8959,6557,62.90121846878901,1478.784533103928,1541.685751572717,
19,20260545,random,3000.0,False,20000,3000.0,442,145.05203619909503,379,6.065963060686016,2299,4927148.074191043,7614,5619,71.68238677224144,1252.2284408230335,1323.910827595275,
19,20260545,ppo,3000.0,False,20000,3000.0,446,153.80269058295963,371,6.002695417789758,2227,4763686.448288559,7522,5506,61.42892291909084,1343.3732950263657,1404.8022179454565,
20,20260546,rika,3000.0,False,20000,3000.0,395,176.31392405063292,480,8.145833333333334,3910,5955058.179245116,8914,6370,89.90831794030964,1415.0542235332541,1504.9625414735638,
20,20260546,random,3000.0,False,20000,3000.0,447,150.42505592841164,372,5.844086021505376,2174,4665699.145482481,7704,5663,66.54625299479812,1240.3473780318163,1306.8936310266145,
20,20260546,ppo,3000.0,False,20000,3000.0,447,146.7718120805369,372,5.75,2139,4847836.593245445,7642,5706,68.8021629746072,1399.6887964978814,1468.4909594724886,
21,20260547,rika,3000.0,False,20000,3000.0,401,171.42394014962593,473,8.657505285412261,4095,5768735.017931093,8643,6276,62.700024615973234,1405.6902537001297,1468.390278316103,
21,20260547,random,3000.0,False,20000,3000.0,428,155.0163551401869,365,5.821917808219178,2125,4586820.111960458,7487,5425,72.791404790245,1254.202622004319,1326.994026794564,
21,20260547,ppo,3000.0,False,20000,3000.0,428,151.7803738317757,366,5.745901639344262,2103,4588040.915540219,7495,5414,67.33430491480976,1431.544297600165,1498.8786025149748,
22,20260548,rika,3000.0,False,20000,3000.0,401,170.3865336658354,471,8.07643312101911,3804,5667363.9654878825,8896,6642,58.545200027991086,1440.305031179916,1498.8502312079072,
22,20260548,random,3000.0,False,20000,3000.0,451,152.3658536585366,380,5.468421052631579,2078,4828560.937117922,7682,5698,64.48221648391336,1294.649354705587,1359.1315711895004,
